full_date,year,month,day,week,quarter,day_of_week,is_weekend
2015-12-31,2015,12,31,53,4,Thursday,0
2016-01-01,2016,1,1,53,1,Friday,0
2016-01-02,2016,1,2,53,1,Saturday,1
2016-01-03,2016,1,3,53,1,Sunday,1
2016-01-04,2016,1,4,1,1,Monday,0
2016-01-05,2016,1,5,1,1,Tuesday,0
2016-01-06,2016,1,6,1,1,Wednesday,0
2016-01-07,2016,1,7,1,1,Thursday,0
2016-01-08,2016,1,8,1,1,Friday,0
2016-01-09,2016,1,9,1,1,Saturday,1
2016-01-10,2016,1,10,1,1,Sunday,1
2016-01-11,2016,1,11,2,1,Monday,0
2016-01-12,2016,1,12,2,1,Tuesday,0
2016-01-13,2016,1,13,2,1,Wednesday,0
2016-01-14,2016,1,14,2,1,Thursday,0
2016-01-15,2016,1,15,2,1,Friday,0
2016-01-16,2016,1,16,2,1,Saturday,1
2016-01-17,2016,1,17,2,1,Sunday,1
2016-01-18,2016,1,18,3,1,Monday,0
2016-01-19,2016,1,19,3,1,Tuesday,0
2016-01-20,2016,1,20,3,1,Wednesday,0
2016-01-21,2016,1,21,3,1,Thursday,0
2016-01-22,2016,1,22,3,1,Friday,0
2016-01-23,2016,1,23,3,1,Saturday,1
2016-01-24,2016,1,24,3,1,Sunday,1
2016-01-25,2016,1,25,4,1,Monday,0
2016-01-26,2016,1,26,4,1,Tuesday,0
2016-01-27,2016,1,27,4,1,Wednesday,0
2016-01-28,2016,1,28,4,1,Thursday,0
2016-01-29,2016,1,29,4,1,Friday,0
2016-01-30,2016,1,30,4,1,Saturday,1
2016-01-31,2016,1,31,4,1,Sunday,1
2016-02-01,2016,2,1,5,1,Monday,0
2016-02-02,2016,2,2,5,1,Tuesday,0
2016-02-03,2016,2,3,5,1,Wednesday,0
2016-02-04,2016,2,4,5,1,Thursday,0
2016-02-05,2016,2,5,5,1,Friday,0
2016-02-06,2016,2,6,5,1,Saturday,1
2016-02-07,2016,2,7,5,1,Sunday,1
2016-02-08,2016,2,8,6,1,Monday,0
2016-02-09,2016,2,9,6,1,Tuesday,0
2016-02-10,2016,2,10,6,1,Wednesday,0
2016-02-11,2016,2,11,6,1,Thursday,0
2016-02-12,2016,2,12,6,1,Friday,0
2016-02-13,2016,2,13,6,1,Saturday,1
2016-02-14,2016,2,14,6,1,Sunday,1
2016-02-15,2016,2,15,7,1,Monday,0
2016-02-16,2016,2,16,7,1,Tuesday,0
2016-02-17,2016,2,17,7,1,Wednesday,0
2016-02-18,2016,2,18,7,1,Thursday,0
2016-02-19,2016,2,19,7,1,Friday,0
2016-02-20,2016,2,20,7,1,Saturday,1
2016-02-21,2016,2,21,7,1,Sunday,1
