,review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,sentimental
9,8670d52e15e00043ae7de4c01cc2fe06,b9bf720beb4ab3728760088589c62129,4,recomendo,aparelho eficiente site marca aparelho impresso numero desinfector chegar outro nome atualizar marca correta vez aparelho,2018-05-22 00:00:00,2018-05-23 16:45:47,Neutral
15,3948b09f7c818e2d86c9a546758b2335,e51478e7e277a83743b6f9991dbfa3fb,5,Super recomendo,vendedor confiável produto ok entrega antes prazo,2018-05-23 00:00:00,2018-05-24 03:00:01,Positive
19,373cbeecea8286a2b66c97b1b157ec46,583174fbe37d3d5f0d6661be3aad1786,1,Não chegou meu produto ,péssimo,2018-08-15 00:00:00,2018-08-15 04:10:37,Negative
22,d21bbc789670eab777d27372ab9094cc,4fc44d78867142c627497b60a7e0228a,5,Ótimo,loja nota numero,2018-07-10 00:00:00,2018-07-11 14:10:25,Neutral
34,c92cdd7dd544a01aa35137f901669cdf,37e7875cdce5a9e5b3a692971f370151,4,Muito bom.,recebi exatamente esperava demais encomendas outros vendedores atrasaram chegou prazo,2018-06-07 00:00:00,2018-06-09 18:44:02,Neutral
36,08c9d79ec0eba1d252e3f52f14b8e6a9,e029f708df3cc108b3264558771605c6,5,Bom,recomendo,2018-06-13 00:00:00,2018-06-13 22:54:44,Positive
38,b193ff3c9f32a01f3a0d9ae26b94d244,e2e6ee1ed2d7f2f36b05d234983bd7a0,5,Maravilhoso!,tô completamente apaixonada loja super responsável confiável,2018-08-10 00:00:00,2018-08-11 00:22:13,Positive
43,86c5cfa7fcbde303f704b60a78ced7d6,a6456e781cb962cc3f412b04de4fed7b,5,Entrega perfeita,bom cheiroso,2018-06-13 00:00:00,2018-06-14 17:29:03,Positive
53,1edd1a85161468a77e5fcb165be9b294,d8e17cc85323061493b16b68a130bcff,5,Ótimo,neutro,2018-06-02 00:00:00,2018-06-02 23:15:37,Neutral
59,500c05500aa275953129f49799ee5c73,8a9424899aac432d80d8e580932b5ee9,5,MT lindo,mt lindo,2018-07-25 00:00:00,2018-07-25 21:37:22,Positive
67,109b5ce2dd11bb8460eff3b86da6fefc,25362fbf6aac4b01a28dee1e076acc26,5,Ótimo Produto! ,recomendo vendedor,2018-08-17 00:00:00,2018-08-17 21:47:08,Neutral
79,c45811d9f90e22a81155b3a1e4a5c2e8,491f193fc52075598871cfe6f19976d4,5,RECOMENDO SEMPRE!!,kit mochila patrulha canina lindo netinho vai amar obrigada,2018-06-19 00:00:00,2018-06-19 17:44:05,Positive
